iter	Passed	Remaining
891	25738	3116
892	25783	3089
893	25816	3061
894	25844	3032
895	25876	3003
896	25904	2974
897	25934	2945
898	25983	2919
899	26010	2890
900	26044	2861
901	26067	2832
902	26096	2803
903	26125	2774
904	26158	2745
905	26198	2718
906	26239	2690
907	26266	2661
908	26299	2632
909	26327	2603
910	26350	2574
911	26382	2545
912	26405	2516
913	26433	2487
914	26466	2458
915	26492	2429
916	26520	2400
917	26559	2372
918	26584	2343
919	26613	2314
920	26640	2285
921	26686	2257
922	26712	2228
923	26739	2199
924	26772	2170
925	26799	2141
926	26825	2112
927	26856	2083
928	26882	2054
929	26904	2025
930	26958	1998
931	26993	1969
932	27017	1940
933	27060	1912
934	27094	1883
935	27124	1854
936	27148	1825
937	27173	1796
938	27206	1767
939	27240	1738
940	27269	1709
941	27299	1680
942	27324	1651
943	27351	1622
944	27379	1593
945	27408	1564
946	27438	1535
947	27467	1506
948	27496	1477
949	27526	1448
950	27556	1419
951	27584	1390
952	27614	1361
953	27643	1332
954	27680	1304
955	27706	1275
956	27734	1246
957	27765	1217
958	27793	1188
959	27816	1159
960	27841	1129
961	27874	1101
962	27903	1072
963	27937	1043
964	27975	1014
965	28005	985
966	28040	956
967	28071	927
968	28098	898
969	28123	869
970	28152	840
971	28186	811
972	28213	782
973	28241	753
974	28271	724
975	28294	695
976	28319	666
977	28357	637
978	28386	608
979	28411	579
980	28440	550
981	28469	521
982	28494	492
983	28522	463
984	28557	434
985	28588	405
986	28617	376
987	28645	347
988	28678	318
989	28704	289
990	28731	260
991	28760	231
992	28789	202
993	28814	173
994	28842	144
995	28868	115
996	28897	86
997	28919	57
998	28949	28
999	28978	0
